time,dt,error,p,i,d
1763500370.8262694,0.045433759689331055,[ 0.37578125 -0.02916667],[ 0.22546875 -0.0175    ],[ 0.03585363 -0.00278282],[0.1412314  0.07958327]
1763500370.8832526,0.056983232498168945,[ 0.37578125 -0.01666667],[ 0.22546875 -0.01      ],[ 0.08082141 -0.00477723],[-0.         0.4825981]
1763500370.9395585,0.056305885314941406,[ 0.37824603 -0.009375  ],[ 0.22694762 -0.005625  ],[ 0.12554611 -0.00588575],[0.09630473 0.28490213]
1763500370.9960265,0.05646800994873047,[0.37907922 0.00203336],[0.22744753 0.00122002],[ 0.1704984  -0.00564463],[0.03246116 0.44447102]
1763500371.0534658,0.057439327239990234,[0.38150308 0.00833333],[0.22890185 0.005     ],[ 0.21651628 -0.00463944],[0.0928369  0.24129704]
1763500371.1106472,0.057181358337402344,[0.38229781 0.01785049],[0.22937869 0.0107103 ],[ 0.26242293 -0.00249594],[0.0305766  0.36616399]
1763500371.169123,0.05847573280334473,[0.38338245 0.02326911],[0.23002947 0.01396147],[0.30950193 0.00036148],[0.04080672 0.20386167]
1763500371.2251704,0.05604743957519531,[0.38503522 0.03125   ],[0.23102113 0.01875   ],[0.35482043 0.0040396 ],[0.06487511 0.31326947]
1763500371.2826982,0.057527780532836914,[0.38824241 0.04299116],[0.23294545 0.0257947 ],[0.40172335 0.00923329],[0.1226508  0.44901011]
1763500371.3406148,0.05791664123535156,[0.38984375 0.05245832],[0.23390625 0.03147499],[0.44913807 0.01561353],[0.06082784 0.3596159 ]
1763500371.3969865,0.05637168884277344,[0.39395907 0.06354167],[0.23637544 0.038125  ],[0.49577516 0.02313563],[0.16060726 0.43254633]
1763500371.4532506,0.05626416206359863,[0.39746875 0.07418451],[0.23848125 0.04451071],[0.54273798 0.03190088],[0.13723279 0.41614878]
1763500371.5104077,0.057157039642333984,[0.40080154 0.0873628 ],[0.24048092 0.05241768],[0.5908461  0.04238702],[0.12828072 0.50723808]
1763500371.5671146,0.056706905364990234,[0.40278125 0.08790627],[0.24166875 0.05274376],[0.63881111 0.05285529],[0.07680474 0.02108434]
1763500371.62341,0.05629539489746094,[0.40078125 0.09375   ],[0.24046875 0.05625   ],[0.6861916  0.06393844],[-0.07815907  0.22837066]
1763500371.6813142,0.05790424346923828,[0.39765625 0.09791667],[0.23859375 0.05875   ],[0.73454617 0.075845  ],[-0.1187305   0.15830734]
1763500371.7380307,0.0567164421081543,[0.39695889 0.09638214],[0.23817533 0.05782928],[0.78182577 0.08732455],[-0.02705031 -0.05952341]
1763500371.7954402,0.05740952491760254,[0.39397912 0.09342823],[0.23638747 0.05605694],[0.82932389 0.09858826],[-0.11418816 -0.11319731]
1763500371.852089,0.05664873123168945,[0.38863704 0.09046291],[0.23318223 0.05427774],[0.87555706 0.10934994],[-0.20746399 -0.11516076]
1763500371.9116826,0.05959367752075195,[0.38603005 0.08621333],[0.23161803 0.051728  ],[0.92386746 0.12013926],[-0.09624131 -0.15688007]
1763500371.9701319,0.05844926834106445,[0.37892654 0.0811128 ],[0.22735592 0.04866768],[0.97037821 0.13009532],[-0.26737259 -0.19198153]
1763500372.0280693,0.0579373836517334,[0.37205106 0.06666667],[0.22323064 0.04      ],[1.01564511 0.13820656],[-0.26107589 -0.54854892]
1763500372.0851207,0.05705142021179199,[0.36281078 0.05414076],[0.21768647 0.03248446],[1.05911274 0.14469305],[-0.35632101 -0.48302037]
1763500372.1415277,0.05640697479248047,[0.35772864 0.04527426],[0.21463718 0.02716455],[1.10148736 0.150056  ],[-0.19821508 -0.34581365]
1763500372.1991255,0.05759787559509277,[0.34503987 0.02967377],[0.20702392 0.01780426],[1.14322184 0.1536452 ],[-0.48465832 -0.59587405]
1763500372.2570922,0.05796670913696289,[0.33086017 0.01195456],[0.1985161  0.00717274],[1.18349748 0.15510043],[-0.53815938 -0.67249378]
1763500372.3160057,0.058913469314575195,[ 0.31672832 -0.00886383],[ 0.19003699 -0.0053183 ],[1.22268256 0.15400382],[-0.52772453 -0.77741922]
1763500372.3745444,0.05853867530822754,[ 0.30859375 -0.01979167],[ 0.18515625 -0.011875  ],[1.26061837 0.1515708 ],[-0.30571326 -0.41068984]
1763500372.4331062,0.05856180191040039,[ 0.29143105 -0.040625  ],[ 0.17485863 -0.024375  ],[1.29645849 0.14657475],[-0.64475389 -0.78264896]
1763500372.4915957,0.05848956108093262,[ 0.27109375 -0.06206315],[ 0.16265625 -0.03723789],[1.32975642 0.13895165],[-0.76495787 -0.80636505]
1763500372.5507329,0.05913710594177246,[ 0.26108057 -0.0715613 ],[ 0.15664834 -0.04293678],[1.36217947 0.1300646 ],[-0.37250698 -0.35334723]
1763500372.6097522,0.05901932716369629,[ 0.23740532 -0.08909556],[ 0.14244319 -0.05345734],[1.39160363 0.11902204],[-0.88251688 -0.65360561]
1763500372.6682818,0.05852961540222168,[ 0.21405575 -0.10845038],[ 0.12843345 -0.06507023],[1.41791369 0.10569217],[-0.87765922 -0.72750529]
1763500372.7276373,0.05935549736022949,[ 0.18677402 -0.1224858 ],[ 0.11206441 -0.07349148],[1.44119443 0.09042474],[-1.0111923  -0.52021996]
1763500372.7863002,0.05866289138793945,[ 0.15706992 -0.13832506],[ 0.09424195 -0.08299503],[1.46054419 0.07338419],[-1.11397521 -0.59401043]
1763500372.844262,0.05796170234680176,[ 0.14183843 -0.14297428],[ 0.08510306 -0.08578457],[1.47780871 0.05598142],[-0.57812792 -0.17646647]
1763500372.9022222,0.05796027183532715,[ 0.10639608 -0.15475101],[ 0.06383765 -0.09285061],[1.49075887 0.03714566],[-1.34528657 -0.44700987]
1763500372.9598298,0.05760765075683594,[ 0.07153502 -0.16947072],[ 0.04292101 -0.10168243],[1.4994129  0.01664376],[-1.33132214 -0.56213643]
1763500373.019134,0.059304237365722656,[ 0.0326858  -0.17942772],[ 0.01961148 -0.10765663],[ 1.50348355 -0.00570197],[-1.44118308 -0.36937311]
1763500373.0783062,0.05917215347290039,[ 0.01171875 -0.18541667],[ 0.00703125 -0.11125   ],[ 1.50493974 -0.02874213],[-0.77954776 -0.22266698]
1763500373.135744,0.057437896728515625,[-0.03066702 -0.19094499],[-0.01840021 -0.11456699],[ 1.5012407  -0.05177384],[-1.62346981 -0.21174714]
1763500373.1933758,0.057631731033325195,[-0.07398429 -0.19367644],[-0.04439057 -0.11620586],[ 1.49228663 -0.07521384],[-1.65356815 -0.10426879]
1763500373.2520406,0.058664798736572266,[-0.09609375 -0.196875  ],[-0.05765625 -0.118125  ],[ 1.48044826 -0.09946807],[-0.82913118 -0.11994982]
1763500373.3108733,0.058832645416259766,[-0.14120851 -0.19895573],[-0.0847251  -0.11937344],[ 1.46300215 -0.12404876],[-1.68703042 -0.07780712]
1763500373.3690653,0.05819201469421387,[-0.18882213 -0.20080128],[-0.11329328 -0.12048077],[ 1.43992748 -0.14858733],[-1.80007457 -0.06977265]
1763500373.4279923,0.058927059173583984,[-0.21484375 -0.17916667],[-0.12890625 -0.1075    ],[ 1.41334124 -0.17075864],[-0.97149888  0.80771285]
